"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 18 10:12:35 UTC 2026","Fri Sep 18 10:12:41 UTC 2026","6167","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Fri Sep 18 10:12:21 UTC 2026","Fri Sep 18 10:12:30 UTC 2026","8286","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Fri Sep 18 10:12:30 UTC 2026","Fri Sep 18 10:12:36 UTC 2026","6276","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Fri Sep 18 10:12:21 UTC 2026","Fri Sep 18 10:12:24 UTC 2026","3544","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
"passed","Fri Sep 18 10:12:19 UTC 2026","Fri Sep 18 10:12:20 UTC 2026","901","chromium","example.spec.ts","","","","has title",""
"passed","Fri Sep 18 10:12:19 UTC 2026","Fri Sep 18 10:12:21 UTC 2026","1205","chromium","example.spec.ts","","","","get started link",""
"passed","Fri Sep 18 10:12:24 UTC 2026","Fri Sep 18 10:12:35 UTC 2026","10444","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
