"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 24 06:34:31 UTC 2026","Mon Aug 24 06:34:37 UTC 2026","6317","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Mon Aug 24 06:34:24 UTC 2026","Mon Aug 24 06:34:31 UTC 2026","6599","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Mon Aug 24 06:34:20 UTC 2026","Mon Aug 24 06:34:21 UTC 2026","1079","chromium","example.spec.ts","","","","has title",""
"passed","Mon Aug 24 06:34:30 UTC 2026","Mon Aug 24 06:34:36 UTC 2026","6497","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Mon Aug 24 06:34:20 UTC 2026","Mon Aug 24 06:34:21 UTC 2026","1407","chromium","example.spec.ts","","","","get started link",""
"passed","Mon Aug 24 06:34:22 UTC 2026","Mon Aug 24 06:34:30 UTC 2026","7954","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Mon Aug 24 06:34:21 UTC 2026","Mon Aug 24 06:34:24 UTC 2026","2971","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
