"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 07 10:58:03 UTC 2026","Mon Sep 07 10:58:04 UTC 2026","1533","chromium","example.spec.ts","","","","get started link",""
"passed","Mon Sep 07 10:58:08 UTC 2026","Mon Sep 07 10:58:15 UTC 2026","6988","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Mon Sep 07 10:58:13 UTC 2026","Mon Sep 07 10:58:20 UTC 2026","6356","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Mon Sep 07 10:58:05 UTC 2026","Mon Sep 07 10:58:13 UTC 2026","8532","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Mon Sep 07 10:58:03 UTC 2026","Mon Sep 07 10:58:04 UTC 2026","1338","chromium","example.spec.ts","","","","has title",""
"passed","Mon Sep 07 10:58:15 UTC 2026","Mon Sep 07 10:58:21 UTC 2026","6801","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Mon Sep 07 10:58:04 UTC 2026","Mon Sep 07 10:58:08 UTC 2026","3016","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
