"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 12 07:05:55 UTC 2026","Wed Aug 12 07:05:56 UTC 2026","985","chromium","example.spec.ts","","","","has title",""
"passed","Wed Aug 12 07:05:57 UTC 2026","Wed Aug 12 07:06:06 UTC 2026","9057","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Wed Aug 12 07:06:08 UTC 2026","Wed Aug 12 07:06:15 UTC 2026","6860","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Wed Aug 12 07:06:01 UTC 2026","Wed Aug 12 07:06:08 UTC 2026","7088","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Wed Aug 12 07:05:57 UTC 2026","Wed Aug 12 07:06:01 UTC 2026","3512","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
"passed","Wed Aug 12 07:05:55 UTC 2026","Wed Aug 12 07:05:56 UTC 2026","1199","chromium","example.spec.ts","","","","get started link",""
"passed","Wed Aug 12 07:06:06 UTC 2026","Wed Aug 12 07:06:13 UTC 2026","6409","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
