"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 27 17:02:10 UTC 2026","Thu Aug 27 17:02:17 UTC 2026","7121","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Thu Aug 27 17:02:16 UTC 2026","Thu Aug 27 17:02:22 UTC 2026","6432","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Thu Aug 27 17:02:04 UTC 2026","Thu Aug 27 17:02:05 UTC 2026","1207","chromium","example.spec.ts","","","","get started link",""
"passed","Thu Aug 27 17:02:17 UTC 2026","Thu Aug 27 17:02:24 UTC 2026","6981","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Thu Aug 27 17:02:04 UTC 2026","Thu Aug 27 17:02:05 UTC 2026","900","chromium","example.spec.ts","","","","has title",""
"passed","Thu Aug 27 17:02:06 UTC 2026","Thu Aug 27 17:02:16 UTC 2026","9399","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Thu Aug 27 17:02:06 UTC 2026","Thu Aug 27 17:02:10 UTC 2026","3894","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
