"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 17 10:36:05 UTC 2026","Thu Sep 17 10:36:14 UTC 2026","8910","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Thu Sep 17 10:36:14 UTC 2026","Thu Sep 17 10:36:21 UTC 2026","6397","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Thu Sep 17 10:36:09 UTC 2026","Thu Sep 17 10:36:16 UTC 2026","7042","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Thu Sep 17 10:36:04 UTC 2026","Thu Sep 17 10:36:05 UTC 2026","1120","chromium","example.spec.ts","","","","has title",""
"passed","Thu Sep 17 10:36:04 UTC 2026","Thu Sep 17 10:36:05 UTC 2026","1387","chromium","example.spec.ts","","","","get started link",""
"passed","Thu Sep 17 10:36:16 UTC 2026","Thu Sep 17 10:36:22 UTC 2026","6816","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Thu Sep 17 10:36:05 UTC 2026","Thu Sep 17 10:36:09 UTC 2026","3394","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
