"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 20 10:15:13 UTC 2026","Sun Sep 20 10:15:14 UTC 2026","1136","chromium","example.spec.ts","","","","has title",""
"passed","Sun Sep 20 10:15:15 UTC 2026","Sun Sep 20 10:15:23 UTC 2026","7955","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Sun Sep 20 10:15:17 UTC 2026","Sun Sep 20 10:15:24 UTC 2026","6489","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Sun Sep 20 10:15:13 UTC 2026","Sun Sep 20 10:15:15 UTC 2026","1537","chromium","example.spec.ts","","","","get started link",""
"passed","Sun Sep 20 10:15:14 UTC 2026","Sun Sep 20 10:15:17 UTC 2026","3005","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
"passed","Sun Sep 20 10:15:23 UTC 2026","Sun Sep 20 10:15:29 UTC 2026","6345","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Sun Sep 20 10:15:24 UTC 2026","Sun Sep 20 10:15:30 UTC 2026","6253","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
