"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 10 10:12:43 UTC 2026","Thu Sep 10 10:12:50 UTC 2026","6817","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Thu Sep 10 10:12:33 UTC 2026","Thu Sep 10 10:12:36 UTC 2026","3363","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
"passed","Thu Sep 10 10:12:31 UTC 2026","Thu Sep 10 10:12:33 UTC 2026","1349","chromium","example.spec.ts","","","","get started link",""
"passed","Thu Sep 10 10:12:36 UTC 2026","Thu Sep 10 10:12:43 UTC 2026","7015","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Thu Sep 10 10:12:42 UTC 2026","Thu Sep 10 10:12:48 UTC 2026","6413","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Thu Sep 10 10:12:31 UTC 2026","Thu Sep 10 10:12:33 UTC 2026","1208","chromium","example.spec.ts","","","","has title",""
"passed","Thu Sep 10 10:12:33 UTC 2026","Thu Sep 10 10:12:42 UTC 2026","8991","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
