"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 26 07:16:38 UTC 2026","Sun Apr 26 07:16:45 UTC 2026","6442","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Sun Apr 26 07:16:43 UTC 2026","Sun Apr 26 07:16:50 UTC 2026","6837","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Sun Apr 26 07:16:31 UTC 2026","Sun Apr 26 07:16:38 UTC 2026","7627","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Sun Apr 26 07:16:28 UTC 2026","Sun Apr 26 07:16:29 UTC 2026","1077","chromium","example.spec.ts","","","","has title",""
"passed","Sun Apr 26 07:16:31 UTC 2026","Sun Apr 26 07:16:36 UTC 2026","5148","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
"passed","Sun Apr 26 07:16:28 UTC 2026","Sun Apr 26 07:16:30 UTC 2026","1200","chromium","example.spec.ts","","","","get started link",""
"passed","Sun Apr 26 07:16:36 UTC 2026","Sun Apr 26 07:16:43 UTC 2026","7159","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
