"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 25 07:02:02 UTC 2026","Sat Apr 25 07:02:03 UTC 2026","1052","chromium","example.spec.ts","","","","get started link",""
"passed","Sat Apr 25 07:02:14 UTC 2026","Sat Apr 25 07:02:20 UTC 2026","6381","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Sat Apr 25 07:02:08 UTC 2026","Sat Apr 25 07:02:15 UTC 2026","7033","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Sat Apr 25 07:02:05 UTC 2026","Sat Apr 25 07:02:08 UTC 2026","3435","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
"passed","Sat Apr 25 07:02:15 UTC 2026","Sat Apr 25 07:02:22 UTC 2026","6828","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Sat Apr 25 07:02:05 UTC 2026","Sat Apr 25 07:02:14 UTC 2026","9124","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Sat Apr 25 07:02:02 UTC 2026","Sat Apr 25 07:02:03 UTC 2026","937","chromium","example.spec.ts","","","","has title",""
