"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 29 11:55:09 UTC 2026","Sat Aug 29 11:55:18 UTC 2026","9129","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Sat Aug 29 11:55:20 UTC 2026","Sat Aug 29 11:55:27 UTC 2026","6872","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Sat Aug 29 11:55:06 UTC 2026","Sat Aug 29 11:55:07 UTC 2026","1137","chromium","example.spec.ts","","","","get started link",""
"passed","Sat Aug 29 11:55:09 UTC 2026","Sat Aug 29 11:55:13 UTC 2026","3490","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
"passed","Sat Aug 29 11:55:13 UTC 2026","Sat Aug 29 11:55:20 UTC 2026","7046","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Sat Aug 29 11:55:18 UTC 2026","Sat Aug 29 11:55:25 UTC 2026","6407","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Sat Aug 29 11:55:06 UTC 2026","Sat Aug 29 11:55:07 UTC 2026","997","chromium","example.spec.ts","","","","has title",""
