"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 25 10:45:42 UTC 2026","Fri Sep 25 10:45:49 UTC 2026","7205","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Fri Sep 25 10:45:39 UTC 2026","Fri Sep 25 10:45:42 UTC 2026","3005","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
"passed","Fri Sep 25 10:45:39 UTC 2026","Fri Sep 25 10:45:48 UTC 2026","8596","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Fri Sep 25 10:45:36 UTC 2026","Fri Sep 25 10:45:38 UTC 2026","1348","chromium","example.spec.ts","","","","get started link",""
"passed","Fri Sep 25 10:45:49 UTC 2026","Fri Sep 25 10:45:55 UTC 2026","6330","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Fri Sep 25 10:45:36 UTC 2026","Fri Sep 25 10:45:38 UTC 2026","1208","chromium","example.spec.ts","","","","has title",""
"passed","Fri Sep 25 10:45:48 UTC 2026","Fri Sep 25 10:45:54 UTC 2026","6474","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
