"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 04 10:07:53 UTC 2026","Fri Sep 04 10:07:56 UTC 2026","2875","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
"passed","Fri Sep 04 10:07:53 UTC 2026","Fri Sep 04 10:08:01 UTC 2026","7904","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Fri Sep 04 10:08:02 UTC 2026","Fri Sep 04 10:08:08 UTC 2026","6173","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Fri Sep 04 10:07:52 UTC 2026","Fri Sep 04 10:07:53 UTC 2026","1069","chromium","example.spec.ts","","","","has title",""
"passed","Fri Sep 04 10:08:01 UTC 2026","Fri Sep 04 10:08:07 UTC 2026","6270","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Fri Sep 04 10:07:52 UTC 2026","Fri Sep 04 10:07:53 UTC 2026","1249","chromium","example.spec.ts","","","","get started link",""
"passed","Fri Sep 04 10:07:56 UTC 2026","Fri Sep 04 10:08:02 UTC 2026","6351","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
