"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 26 10:28:05 UTC 2026","Sat Sep 26 10:28:06 UTC 2026","1153","chromium","example.spec.ts","","","","has title",""
"passed","Sat Sep 26 10:28:07 UTC 2026","Sat Sep 26 10:28:16 UTC 2026","9091","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
"passed","Sat Sep 26 10:28:16 UTC 2026","Sat Sep 26 10:28:22 UTC 2026","6384","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Sat Sep 26 10:28:10 UTC 2026","Sat Sep 26 10:28:17 UTC 2026","7063","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Sat Sep 26 10:28:05 UTC 2026","Sat Sep 26 10:28:06 UTC 2026","1219","chromium","example.spec.ts","","","","get started link",""
"passed","Sat Sep 26 10:28:07 UTC 2026","Sat Sep 26 10:28:10 UTC 2026","3464","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
"passed","Sat Sep 26 10:28:17 UTC 2026","Sat Sep 26 10:28:24 UTC 2026","6358","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
