"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 30 10:52:28 UTC 2026","Sun Aug 30 10:52:34 UTC 2026","6398","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","sell all units removes asset from portfolio and restores balance @smoke @p0 @portfolio",""
"passed","Sun Aug 30 10:52:22 UTC 2026","Sun Aug 30 10:52:29 UTC 2026","7060","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy new asset adds it to portfolio and shows vender spinbutton @smoke @p0 @portfolio",""
"passed","Sun Aug 30 10:52:17 UTC 2026","Sun Aug 30 10:52:18 UTC 2026","1118","chromium","example.spec.ts","","","","has title",""
"passed","Sun Aug 30 10:52:29 UTC 2026","Sun Aug 30 10:52:36 UTC 2026","6364","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buying beyond available balance results in negative balance (known bug) @p1 @portfolio",""
"passed","Sun Aug 30 10:52:17 UTC 2026","Sun Aug 30 10:52:18 UTC 2026","1336","chromium","example.spec.ts","","","","get started link",""
"passed","Sun Aug 30 10:52:19 UTC 2026","Sun Aug 30 10:52:22 UTC 2026","3544","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","portfolio page overview and asset detail panel @smoke @p0 @portfolio",""
"passed","Sun Aug 30 10:52:19 UTC 2026","Sun Aug 30 10:52:28 UTC 2026","9104","chromium","portfolio/portfolio.spec.ts","Portfolio @portfolio","","","buy existing portfolio asset increases units and decreases balance @smoke @p0 @portfolio",""
